source,target,weight_shared_papers,topics,papers
Chengqi Deng,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chengqi Deng,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chengqi Deng,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Xingkai Yu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Chengqi Deng,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chengqi Deng,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Chengqi Deng,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Yuqing Wang,2,系统/效率,Insights into DeepSeek-V3；mHC
Chengqi Deng,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengyue Wu,Chong Ruan,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Wen Liu,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Xiaokang Chen,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Xingchao Liu,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Xingkai Yu,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Yiyang Ma,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Zhenda Xie,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Zhiyu Wu,2,多模态,DeepSeek-VL2；Janus
Chengyue Wu,Zizheng Pan,2,多模态,DeepSeek-VL2；Janus
Chong Ruan,Haocheng Wang,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Haowei Zhang,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Chong Ruan,Haoyu Lu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chong Ruan,Jingxiang Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chong Ruan,Liang Zhao,2,多模态、系统/效率,DeepSeek-VL2；Native Sparse Attention
Chong Ruan,Shangyan Zhou,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Chong Ruan,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chong Ruan,Wanjia Zhao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chong Ruan,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Chong Ruan,Y. X. Wei,2,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention
Chong Ruan,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chong Ruan,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Chong Ruan,Yiyang Ma,2,多模态,DeepSeek-VL2；Janus
Chong Ruan,Yuqing Wang,2,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention
Chong Ruan,Yuxuan Liu,2,数学/证明、系统/效率,DeepSeek-Prover-V2；Insights into DeepSeek-V3
Chong Ruan,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Chong Ruan,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Daya Guo,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Dejian Yang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Hanwei Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Haowei Zhang,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Damai Dai,Jingyang Yuan,2,系统/效率,Native Sparse Attention；mHC
Damai Dai,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Lean Wang,2,系统/效率,Native Sparse Attention；mHC
Damai Dai,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Qinyu Chen,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Damai Dai,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Damai Dai,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Y. X. Wei,2,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention
Damai Dai,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Damai Dai,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Damai Dai,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Damai Dai,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Damai Dai,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Deli Chen,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Guanting Chen,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Daya Guo,Hanwei Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Haowei Zhang,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Daya Guo,Huajian Xin,2,数学/证明,DeepSeek-Prover；DeepSeek-Prover-V2
Daya Guo,Huazuo Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Jiashi Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Mingchuan Zhang,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Daya Guo,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Wentao Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Daya Guo,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Daya Guo,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Zhibin Gou,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V2
Dejian Yang,Deli Chen,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Guanting Chen,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Dejian Yang,Hanwei Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Haocheng Wang,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Huajian Xin,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Huazuo Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Jiashi Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Runxin Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Wanjia Zhao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Wentao Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Dejian Yang,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Dejian Yang,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Dejian Yang,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Dejian Yang,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Hanwei Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Kai Dong,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Liyue Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Panpan Huang,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Deli Chen,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Shirong Ma,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Wangding Zeng,2,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE
Deli Chen,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Xingkai Yu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Deli Chen,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Deli Chen,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Guanting Chen,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Fuli Luo,Hanwei Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Panpan Huang,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Fuli Luo,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Shirong Ma,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Wangding Zeng,2,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Wentao Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Fuli Luo,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Xingkai Yu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Fuli Luo,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Fuli Luo,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Fuli Luo,Zhibin Gou,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Guanting Chen,Kai Dong,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Guanting Chen,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Guanting Chen,Wenfeng Liang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Guanting Chen,Wentao Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Guanting Chen,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Guanting Chen,Yu Wu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Guanting Chen,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Guanting Chen,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Hanwei Xu,Haoyu Lu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Hanwei Xu,Huazuo Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Jiashi Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Jingxiang Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Hanwei Xu,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Liyue Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Runxin Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Shirong Ma,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Hanwei Xu,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Hanwei Xu,Wenfeng Liang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Hanwei Xu,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Yu Wu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Hanwei Xu,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Haocheng Wang,Huajian Xin,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Junxiao Song,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Liyue Zhang,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Qihao Zhu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Wanjia Zhao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Wenjun Gao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Zhibin Gou,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haocheng Wang,Zhihong Shao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Haoran Wei,Yaofeng Sun,2,OCR,DeepSeek-OCR；DeepSeek-OCR 2
Haoran Wei,Yukun Li,2,OCR,DeepSeek-OCR；DeepSeek-OCR 2
Haowei Zhang,Huazuo Gao,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Junxiao Song,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Haowei Zhang,Kai Dong,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Kang Guan,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Mingchuan Zhang,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Haowei Zhang,Peiyi Wang,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Haowei Zhang,Qihao Zhu,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Haowei Zhang,Runxin Xu,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Haowei Zhang,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Xiao Bi,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Haowei Zhang,Xin Xie,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Xingkai Yu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Yishi Piao,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Yuxiang You,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Zhenda Xie,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Haowei Zhang,Zhihong Shao,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Haoyu Lu,Jingxiang Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Haoyu Lu,Kai Dong,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Haoyu Lu,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Haoyu Lu,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Haoyu Lu,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Haoyu Lu,Zhenda Xie,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Huajian Xin,Junxiao Song,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huajian Xin,Liyue Zhang,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huajian Xin,Wanjia Zhao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huajian Xin,Wenjun Gao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huajian Xin,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huajian Xin,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huajian Xin,Zhibin Gou,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huazuo Gao,Jingyang Yuan,2,系统/效率,Native Sparse Attention；mHC
Huazuo Gao,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Lean Wang,2,系统/效率,Native Sparse Attention；mHC
Huazuo Gao,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Huazuo Gao,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Y. X. Wei,2,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention
Huazuo Gao,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Huazuo Gao,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Huazuo Gao,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Huazuo Gao,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Huazuo Gao,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Kai Dong,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Xingkai Yu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Jiashi Li,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Jiashi Li,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Yuqing Wang,2,系统/效率,Insights into DeepSeek-V3；mHC
Jiashi Li,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jiashi Li,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Jingxiang Sun,Kai Dong,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Jingxiang Sun,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Jingxiang Sun,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Jingxiang Sun,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Jingxiang Sun,Zhenda Xie,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Jingyang Yuan,Lean Wang,2,系统/效率,Native Sparse Attention；mHC
Jingyang Yuan,Liang Zhao,2,系统/效率,Native Sparse Attention；mHC
Jingyang Yuan,Wangding Zeng,2,系统/效率,Native Sparse Attention；mHC
Jingyang Yuan,Wenfeng Liang,2,系统/效率,Native Sparse Attention；mHC
Jingyang Yuan,Yuqing Wang,2,系统/效率,Native Sparse Attention；mHC
Jingyang Yuan,Zhenda Xie,2,系统/效率,Native Sparse Attention；mHC
Jingyang Yuan,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Junxiao Song,Kai Dong,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Mingchuan Zhang,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Junxiao Song,Wanjia Zhao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Junxiao Song,Wenfeng Liang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Junxiao Song,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Junxiao Song,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Junxiao Song,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Junxiao Song,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Junxiao Song,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Liyue Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Runxin Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Shirong Ma,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
